"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Diana","Jungle",88,"26.8%","25.0%","51.8%","53%","47%",305,272,606,3.3,"72.5%","21.9%","-","-","-","-",6.5,"-",429,"21.1%","20.7%",0.32,0.31
"Dr. Mundo","Top",24,"7.3%","3.7%","11.0%","58%","67%",42,45,145,4.2,"60.9%","15.6%","-","-","-","-",8,"-",511,"26.0%","21.6%",0.41,0.18
"Draven","ADC",11,"3.4%","6.4%","9.8%","64%","73%",44,27,92,5,"73.1%","17.1%","-","-","-","-",8.2,"-",584,"24.3%","26.7%",0.6,0.36
"Ekko","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",4,2,1,2.5,"62.5%","18.2%","-","-","-","-",6.7,"-",343,"24.9%","21.4%",1,0.51
"Elise","Jungle",1,"0.3%","0.0%","0.3%","0%","100%",2,5,3,1,"55.6%","21.7%","-","-","-","-",5.1,"-",252,"16.8%","16.5%",0.6,0.34
"Ezreal","ADC",128,"39.0%","19.5%","58.5%","50%","34%",439,201,628,5.3,"64.5%","12.8%","-","-","-","-",9.4,"-",696,"33.5%","25.7%",0.38,0.3
"Fiora","Top",5,"1.5%","0.0%","1.5%","40%","100%",15,12,23,3.2,"59.4%","20.3%","-","-","-","-",9,"-",481,"25.4%","26.1%",0.42,0.24
"Galio","Middle",20,"6.1%","4.3%","12.5%","45%","85%",45,68,145,2.8,"72.2%","23.2%","-","-","-","-",7.1,"-",386,"19.6%","19.9%",0.41,0.13
"Galio","Support",7,"2.1%","4.3%","12.5%","29%","86%",2,21,41,2,"71.7%","20.2%","-","-","-","-",1.2,"-",185,"10.2%","8.5%",1.6,0.3
"Gangplank","Middle",1,"0.3%","0.6%","1.5%","0%","100%",3,1,1,4,"80.0%","7.1%","-","-","-","-",9.9,"-",602,"35.5%","29.7%",0.4,0.24
"Gangplank","Top",2,"0.6%","0.6%","1.5%","50%","100%",7,6,14,3.5,"65.6%","15.8%","-","-","-","-",8.4,"-",658,"33.9%","28.1%",0.33,0.11
"Gnar","Top",27,"8.2%","4.3%","12.5%","33%","81%",59,83,108,2,"57.2%","21.6%","-","-","-","-",8.2,"-",478,"26.5%","23.0%",0.37,0.19
"Gragas","Jungle",2,"0.6%","0.6%","4.9%","100%","100%",4,5,20,4.8,"57.1%","20.0%","-","-","-","-",5.5,"-",352,"16.0%","16.3%",0.92,0.32
"Gragas","Support",8,"2.4%","0.6%","4.9%","50%","63%",5,25,61,2.6,"65.3%","24.0%","-","-","-","-",1.1,"-",192,"9.8%","8.6%",1.43,0.32
"Gragas","Top",4,"1.2%","0.6%","4.9%","50%","100%",5,16,27,2,"54.2%","30.8%","-","-","-","-",6.8,"-",403,"18.3%","18.6%",0.37,0.14
"Graves","Jungle",7,"2.1%","0.0%","2.1%","43%","100%",25,15,36,4.1,"73.5%","17.9%","-","-","-","-",6.8,"-",336,"19.2%","21.9%",0.49,0.39
"Gwen","Jungle",14,"4.3%","28.7%","68.0%","29%","50%",44,58,64,1.9,"74.0%","22.4%","-","-","-","-",6.3,"-",424,"22.5%","21.1%",0.26,0.44
"Gwen","Middle",1,"0.3%","28.7%","68.0%","100%","0%",5,2,2,3.5,"53.8%","22.2%","-","-","-","-",9.3,"-",549,"25.4%","24.1%",0.61,0.32
"Gwen","Top",114,"34.8%","28.7%","68.0%","58%","38%",391,353,540,2.6,"57.8%","23.5%","-","-","-","-",8.2,"-",502,"25.4%","23.0%",0.37,0.22
"Hecarim","Jungle",3,"0.9%","0.6%","1.5%","67%","67%",7,5,17,4.8,"72.7%","17.2%","-","-","-","-",6.1,"-",223,"12.8%","19.6%",0.33,0.19
"Irelia","Middle",4,"1.2%","7.3%","9.8%","50%","100%",19,12,17,3,"63.2%","21.8%","-","-","-","-",9.5,"-",472,"21.9%","27.5%",0.37,0.15
"Irelia","Top",4,"1.2%","7.3%","9.8%","75%","100%",9,8,19,3.5,"54.9%","18.6%","-","-","-","-",9.2,"-",277,"17.7%","22.3%",0.36,0.18
"Jarvan IV","Jungle",1,"0.3%","0.0%","0.9%","0%","100%",0,4,8,2,"66.7%","16.7%","-","-","-","-",5.3,"-",213,"11.0%","14.1%",0.24,0.58
"Jarvan IV","Support",2,"0.6%","0.0%","0.9%","100%","100%",1,6,30,5.2,"81.6%","28.6%","-","-","-","-",0.7,"-",296,"15.2%","10.1%",1.7,0.59
