"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Trundle","Support",2,"0.9%","1.7%","6.9%","50%","50%",2,6,19,3.5,"72.4%","27.3%","-","-","-","-","-","-",119,"6.7%","13.0%",1.4,0.53
"Trundle","Top",10,"4.3%","1.7%","6.9%","50%","100%",26,21,38,3,"57.1%","19.4%","-","-","-","-",10.5,"-",346,"16.8%","22.7%",0.47,0.13
"Twisted Fate","Middle",4,"1.7%","1.7%","3.4%","25%","33%",10,14,21,2.2,"72.1%","26.4%","-","-","-","-","-","-",443,"27.6%","25.2%",0.43,0.18
"Twitch","ADC",18,"7.7%","11.2%","18.9%","61%","80%",80,43,91,4,"72.2%","23.0%","-","-","-","-","-","-",554,"30.6%","24.3%",0.36,0.3
"Varus","ADC",69,"29.6%","8.6%","38.2%","52%","71%",230,154,380,4,"70.1%","18.6%","-","-","-","-",8.4,"-",496,"25.0%","24.0%",0.39,0.29
"Vayne","ADC",5,"2.1%","0.0%","2.1%","60%","100%",24,5,22,9.2,"74.2%","11.4%","-","-","-","-","-","-",515,"26.6%","26.3%",0.36,0.31
"Viktor","Middle",14,"6.0%","2.1%","8.2%","57%","100%",61,31,56,3.8,"73.1%","21.8%","-","-","-","-","-","-",630,"31.6%","24.9%",0.37,0.2
"Vladimir","Middle",11,"4.7%","2.1%","6.9%","18%","86%",44,34,51,2.8,"74.2%","18.3%","-","-","-","-","-","-",581,"30.0%","24.3%",0.35,0.16
"Xayah","ADC",28,"12.0%","5.2%","17.2%","57%","58%",94,58,147,4.2,"69.9%","18.1%","-","-","-","-","-","-",644,"30.0%","24.7%",0.38,0.33
"Yasuo","Middle",1,"0.4%","0.0%","0.4%","100%","100%",4,0,6,10,"83.3%","0.0%","-","-","-","-","-","-",293,"18.9%","23.8%",0.54,0.13
"Zac","Jungle",27,"11.6%","71.7%","83.3%","52%","5%",36,63,206,3.8,"73.8%","20.3%","-","-","-","-","-","-",203,"10.9%","17.0%",0.95,0.34
"Zed","Middle",2,"0.9%","0.0%","0.9%","100%","100%",10,5,15,5,"64.1%","23.8%","-","-","-","-","-","-",484,"19.9%","23.2%",0.34,0.21
"Zyra","Support",10,"4.3%","5.2%","9.4%","20%","50%",12,30,48,2,"55.6%","21.1%","-","-","-","-","-","-",377,"20.8%","12.2%",1.47,0.51
